Year,Location,Bedrooms,Property_type,Rent,District
2008,Dublin 3,One bed,Semi detached house,745.08,D3
2008,Dublin 4,One bed,Semi detached house,911.54,D4
2008,Dublin 6,One bed,Semi detached house,801.92,D6
2008,Dublin 7,One bed,Semi detached house,642.81,D7
2008,Dublin 8,One bed,Semi detached house,891.94,D8
2008,Dublin 4,One bed,Terrace house,1104.44,D4
2008,Dublin 6,One bed,Terrace house,914.55,D6
2008,Dublin 7,One bed,Terrace house,765.89,D7
2008,Dublin 8,One bed,Terrace house,974.76,D8
2008,"Balbriggan, Dublin",One bed,Apartment,832.77,D1
2008,"Blackrock, Dublin",One bed,Apartment,1169.45,D18
2008,"Donabate, Dublin",One bed,Apartment,908.33,D13
2008,"Dun Laoghaire, Dublin",One bed,Apartment,1060.02,D18
2008,"Lucan, Dublin",One bed,Apartment,962.4,D20
2008,"Malahide, Dublin",One bed,Apartment,1202.44,D17
2008,"Monkstown, Dublin",One bed,Apartment,1033.45,D18
2008,"Portmarnock, Dublin",One bed,Apartment,1098.33,D13
2008,"Stillorgan, Dublin",One bed,Apartment,1206.38,D18
2008,"Swords, Dublin",One bed,Apartment,993.72,D17
2008,Dublin 1,One bed,Apartment,1037.51,D1
2008,"I.F.S.C., Dublin 1",One bed,Apartment,1205.44,D1
2008,"Parnell Street, Dublin 1",One bed,Apartment,1100.55,D1
2008,"Spencer Dock, Dublin 1",One bed,Apartment,1308.13,D1
2008,"Summerhill, Dublin 1",One bed,Apartment,924.11,D1
2008,Dublin 2,One bed,Apartment,1187.84,D2
2008,"Pearse Street, Dublin 2",One bed,Apartment,1156.25,D2
2008,"Temple Bar, Dublin 2",One bed,Apartment,1226.52,D2
2008,"Townsend Street, Dublin 2",One bed,Apartment,1208.33,D2
2008,Dublin 3,One bed,Apartment,1036.36,D3
2008,"Clontarf, Dublin 3",One bed,Apartment,1070.1,D3
2008,"Drumcondra, Dublin 3",One bed,Apartment,876.3,D3
2008,"Fairview, Dublin 3",One bed,Apartment,968.14,D3
2008,Dublin 4,One bed,Apartment,1199.04,D4
2008,"Ballsbridge, Dublin 4",One bed,Apartment,1301.4,D4
2008,"Donnybrook, Dublin 4",One bed,Apartment,1151.28,D4
2008,"Merrion, Dublin 4",One bed,Apartment,1279.09,D4
2008,"Pembroke, Dublin 4",One bed,Apartment,1134.49,D4
2008,"Ringsend, Dublin 4",One bed,Apartment,1132.0,D4
2008,"Sandymount, Dublin 4",One bed,Apartment,1085.42,D4
2008,Dublin 5,One bed,Apartment,968.82,D5
2008,Dublin 6,One bed,Apartment,1021.98,D6
2008,"Harolds Cross, Dublin 6",One bed,Apartment,957.55,D6
2008,"Milltown, Dublin 6",One bed,Apartment,1261.22,D6
2008,"Ranelagh, Dublin 6",One bed,Apartment,1042.97,D6
2008,"Rathgar, Dublin 6",One bed,Apartment,980.82,D6
2008,"Rathmines, Dublin 6",One bed,Apartment,997.67,D6
2008,Dublin 6W,One bed,Apartment,942.4,D6W
2008,"Harolds Cross, Dublin 6W",One bed,Apartment,932.02,D6W
2008,"Terenure, Dublin 6W",One bed,Apartment,985.35,D6W
2008,Dublin 7,One bed,Apartment,966.17,D7
2008,"Navan Road, Dublin 7",One bed,Apartment,1026.88,D7
2008,"Phibsboro, Dublin 7",One bed,Apartment,899.28,D7
2008,"Smithfield, Dublin 7",One bed,Apartment,1127.66,D7
2008,Dublin 8,One bed,Apartment,1017.97,D8
2008,"Christchurch, Dublin 8",One bed,Apartment,1049.93,D8
2008,"Cork Street, Dublin 8",One bed,Apartment,1083.65,D8
2008,"Inchicore, Dublin 8",One bed,Apartment,989.81,D8
2008,"Islandbridge, Dublin 8",One bed,Apartment,1043.06,D8
2008,"Kilmainham , Dublin 8",One bed,Apartment,1022.74,D8
2008,"South Circular Road, Dublin 8",One bed,Apartment,993.33,D8
2008,Dublin 9,One bed,Apartment,906.84,D9
2008,"Ballymun, Dublin 9",One bed,Apartment,917.62,D9
2008,"Drumcondra, Dublin 9",One bed,Apartment,860.9,D9
2008,"Glasnevin, Dublin 9",One bed,Apartment,932.33,D9
2008,"Santry, Dublin 9",One bed,Apartment,915.87,D9
2008,Dublin 11,One bed,Apartment,968.61,D11
2008,"Ballymun, Dublin 11",One bed,Apartment,934.92,D11
2008,"Finglas, Dublin 11",One bed,Apartment,999.05,D11
2008,Dublin 12,One bed,Apartment,1025.05,D12
2008,"Drimnagh, Dublin 12",One bed,Apartment,1108.06,D12
2008,"Kimmage, Dublin 12",One bed,Apartment,926.52,D12
2008,Dublin 13,One bed,Apartment,1013.3,D13
2008,Dublin 14,One bed,Apartment,1133.46,D14
2008,"Dundrum, Dublin 14",One bed,Apartment,1183.11,D14
2008,"Rathfarnham, Dublin 14",One bed,Apartment,1006.45,D14
2008,Dublin 15,One bed,Apartment,1008.1,D15
2008,"Ashtown, Dublin 15",One bed,Apartment,1061.24,D15
2008,"Blanchardstown, Dublin 15",One bed,Apartment,963.15,D15
2008,"Castleknock, Dublin 15",One bed,Apartment,1104.88,D15
2008,"Ongar, Dublin 15",One bed,Apartment,936.36,D15
2008,"Royal Canal Park, Dublin 15",One bed,Apartment,1051.89,D15
2008,Dublin 16,One bed,Apartment,1126.56,D16
2008,"Dundrum, Dublin 16",One bed,Apartment,1185.59,D16
2008,"Rathfarnham, Dublin 16",One bed,Apartment,1019.87,D16
2008,Dublin 18,One bed,Apartment,1215.6,D18
2008,"Cabinteely, Dublin 18",One bed,Apartment,1103.41,D18
2008,"Sandyford, Dublin 18",One bed,Apartment,1264.28,D18
2008,Dublin 20,One bed,Apartment,999.69,D20
2008,"Chapelizod, Dublin 20",One bed,Apartment,1010.0,D20
2008,Dublin 24,One bed,Apartment,996.95,D24
2008,"Tallaght, Dublin 24",One bed,Apartment,991.91,D24
2008,"Dun Laoghaire, Dublin",One bed,Other flats,780.73,D18
2008,Dublin 1,One bed,Other flats,706.35,D1
2008,Dublin 2,One bed,Other flats,874.61,D2
2008,Dublin 3,One bed,Other flats,680.7,D3
2008,"Clontarf, Dublin 3",One bed,Other flats,665.35,D3
2008,"Drumcondra, Dublin 3",One bed,Other flats,668.5,D3
2008,"Fairview, Dublin 3",One bed,Other flats,640.49,D3
2008,Dublin 4,One bed,Other flats,800.92,D4
2008,"Ballsbridge, Dublin 4",One bed,Other flats,810.98,D4
2008,"Donnybrook, Dublin 4",One bed,Other flats,751.19,D4
2008,Dublin 6,One bed,Other flats,698.68,D6
2008,"Harolds Cross, Dublin 6",One bed,Other flats,684.44,D6
2008,"Ranelagh, Dublin 6",One bed,Other flats,705.24,D6
2008,"Rathgar, Dublin 6",One bed,Other flats,709.93,D6
2008,"Rathmines, Dublin 6",One bed,Other flats,706.26,D6
2008,"Terenure, Dublin 6",One bed,Other flats,663.73,D6
2008,Dublin 6W,One bed,Other flats,666.96,D6W
2008,"Harolds Cross, Dublin 6W",One bed,Other flats,698.59,D6W
2008,"Terenure, Dublin 6W",One bed,Other flats,653.2,D6W
2008,Dublin 7,One bed,Other flats,652.79,D7
2008,"Cabra, Dublin 7",One bed,Other flats,621.53,D7
2008,"Phibsboro, Dublin 7",One bed,Other flats,598.59,D7
2008,Dublin 8,One bed,Other flats,675.97,D8
2008,"Kilmainham , Dublin 8",One bed,Other flats,613.84,D8
2008,"Portobello, Dublin 8",One bed,Other flats,735.08,D8
2008,"South Circular Road, Dublin 8",One bed,Other flats,660.42,D8
2008,Dublin 9,One bed,Other flats,641.91,D9
2008,"Drumcondra, Dublin 9",One bed,Other flats,671.33,D9
2008,"Glasnevin, Dublin 9",One bed,Other flats,558.7,D9
2008,Dublin 12,One bed,Other flats,640.23,D12
2008,"Balbriggan, Dublin",Two bed,Semi detached house,1007.39,D1
2008,"Blackrock, Dublin",Two bed,Semi detached house,1335.23,D18
2008,"Lucan, Dublin",Two bed,Semi detached house,1090.7,D20
2008,"Swords, Dublin",Two bed,Semi detached house,1112.5,D17
2008,Dublin 3,Two bed,Semi detached house,1268.77,D3
2008,"Drumcondra, Dublin 3",Two bed,Semi detached house,1214.17,D3
2008,"East Wall, Dublin 3",Two bed,Semi detached house,1254.46,D3
2008,Dublin 4,Two bed,Semi detached house,1589.72,D4
2008,Dublin 5,Two bed,Semi detached house,1208.48,D5
2008,Dublin 6,Two bed,Semi detached house,1313.85,D6
2008,"Rathmines, Dublin 6",Two bed,Semi detached house,1269.63,D6
2008,Dublin 7,Two bed,Semi detached house,1157.03,D7
2008,Dublin 8,Two bed,Semi detached house,1281.97,D8
2008,Dublin 9,Two bed,Semi detached house,1196.89,D9
2008,Dublin 11,Two bed,Semi detached house,1114.43,D11
2008,Dublin 12,Two bed,Semi detached house,1210.63,D12
2008,Dublin 14,Two bed,Semi detached house,1324.7,D14
2008,Dublin 15,Two bed,Semi detached house,1163.64,D15
2008,Dublin 16,Two bed,Semi detached house,1323.55,D16
2008,Dublin 24,Two bed,Semi detached house,1135.26,D24
2008,"Tallaght, Dublin 24",Two bed,Semi detached house,1092.64,D24
2008,"Balbriggan, Dublin",Two bed,Terrace house,981.77,D1
2008,"Blackrock, Dublin",Two bed,Terrace house,1400.44,D18
2008,"Lucan, Dublin",Two bed,Terrace house,1114.38,D20
2008,"Swords, Dublin",Two bed,Terrace house,1145.33,D17
2008,Dublin 1,Two bed,Terrace house,1157.39,D1
2008,Dublin 2,Two bed,Terrace house,1531.45,D2
2008,Dublin 3,Two bed,Terrace house,1179.85,D3
2008,"Drumcondra, Dublin 3",Two bed,Terrace house,1147.11,D3
2008,"East Wall, Dublin 3",Two bed,Terrace house,1178.94,D3
2008,Dublin 4,Two bed,Terrace house,1499.41,D4
2008,"Ballsbridge, Dublin 4",Two bed,Terrace house,1822.81,D4
2008,"Donnybrook, Dublin 4",Two bed,Terrace house,1454.14,D4
2008,"Ringsend, Dublin 4",Two bed,Terrace house,1281.38,D4
2008,"Sandymount, Dublin 4",Two bed,Terrace house,1484.9,D4
2008,Dublin 5,Two bed,Terrace house,1202.09,D5
2008,Dublin 6,Two bed,Terrace house,1407.1,D6
2008,"Harolds Cross, Dublin 6",Two bed,Terrace house,1242.51,D6
2008,"Ranelagh, Dublin 6",Two bed,Terrace house,1572.8,D6
2008,"Rathmines, Dublin 6",Two bed,Terrace house,1336.41,D6
2008,Dublin 6W,Two bed,Terrace house,1275.15,D6W
2008,Dublin 7,Two bed,Terrace house,1160.54,D7
2008,"Cabra, Dublin 7",Two bed,Terrace house,1148.75,D7
2008,"Stoneybatter, Dublin 7",Two bed,Terrace house,1217.58,D7
2008,Dublin 8,Two bed,Terrace house,1278.9,D8
2008,"Inchicore, Dublin 8",Two bed,Terrace house,1203.94,D8
2008,Dublin 9,Two bed,Terrace house,1138.07,D9
2008,"Drumcondra, Dublin 9",Two bed,Terrace house,1143.52,D9
2008,Dublin 11,Two bed,Terrace house,1190.0,D11
2008,Dublin 12,Two bed,Terrace house,1186.47,D12
2008,"Crumlin, Dublin 12",Two bed,Terrace house,1182.31,D12
2008,Dublin 13,Two bed,Terrace house,1243.97,D13
2008,Dublin 14,Two bed,Terrace house,1351.69,D14
2008,Dublin 15,Two bed,Terrace house,1109.3,D15
2008,"Clonee, Dublin 15",Two bed,Terrace house,1090.85,D15
2008,Dublin 16,Two bed,Terrace house,1224.34,D16
2008,Dublin 24,Two bed,Terrace house,1162.5,D24
2008,"Balbriggan, Dublin",Two bed,Apartment,958.57,D1
2008,"Blackrock, Dublin",Two bed,Apartment,1440.89,D18
2008,"Booterstown, Dublin",Two bed,Apartment,1495.6,D4
2008,"Dalkey, Dublin",Two bed,Apartment,1501.7,D18
2008,"Donabate, Dublin",Two bed,Apartment,1171.03,D13
2008,"Dun Laoghaire, Dublin",Two bed,Apartment,1445.07,D18
2008,"Howth, Dublin",Two bed,Apartment,1514.71,D13
2008,"Kinsealy, Dublin",Two bed,Apartment,1149.84,D17
2008,"Lucan, Dublin",Two bed,Apartment,1119.86,D20
2008,"Malahide, Dublin",Two bed,Apartment,1465.01,D17
2008,"Monkstown, Dublin",Two bed,Apartment,1326.24,D18
2008,"Portmarnock, Dublin",Two bed,Apartment,1261.33,D13
2008,"Rathcoole, Dublin",Two bed,Apartment,1056.93,D24
2008,"Saggart, Dublin",Two bed,Apartment,1231.59,D24
2008,"Sandycove, Dublin",Two bed,Apartment,1371.16,D18
2008,"Shankill, Dublin",Two bed,Apartment,1276.59,D18
2008,"Skerries, Dublin",Two bed,Apartment,992.05,D1
2008,"Stillorgan, Dublin",Two bed,Apartment,1474.13,D18
2008,"Swords, Dublin",Two bed,Apartment,1136.82,D17
2008,Dublin 1,Two bed,Apartment,1396.57,D1
2008,"I.F.S.C., Dublin 1",Two bed,Apartment,1496.39,D1
2008,"Parnell Street, Dublin 1",Two bed,Apartment,1461.82,D1
2008,"Spencer Dock, Dublin 1",Two bed,Apartment,1606.92,D1
2008,"Summerhill, Dublin 1",Two bed,Apartment,1338.06,D1
2008,Dublin 2,Two bed,Apartment,1539.62,D2
2008,"Charlemont Street, Dublin 2",Two bed,Apartment,1555.67,D2
2008,"Grand Canal Dock, Dublin 2",Two bed,Apartment,1813.67,D2
2008,"Pearse Street, Dublin 2",Two bed,Apartment,1406.29,D2
2008,"Temple Bar, Dublin 2",Two bed,Apartment,1571.15,D2
2008,"Townsend Street, Dublin 2",Two bed,Apartment,1485.88,D2
2008,Dublin 3,Two bed,Apartment,1337.72,D3
2008,"Clontarf, Dublin 3",Two bed,Apartment,1354.26,D3
2008,"Drumcondra, Dublin 3",Two bed,Apartment,1290.3,D3
2008,"Fairview, Dublin 3",Two bed,Apartment,1255.4,D3
2008,Dublin 4,Two bed,Apartment,1568.36,D4
2008,"Ballsbridge, Dublin 4",Two bed,Apartment,1657.28,D4
2008,"Donnybrook, Dublin 4",Two bed,Apartment,1610.1,D4
2008,"Merrion, Dublin 4",Two bed,Apartment,1621.72,D4
2008,"Pembroke, Dublin 4",Two bed,Apartment,1548.45,D4
2008,"Ringsend, Dublin 4",Two bed,Apartment,1365.39,D4
2008,"Sandymount, Dublin 4",Two bed,Apartment,1600.9,D4
2008,Dublin 5,Two bed,Apartment,1293.09,D5
2008,"Artane, Dublin 5",Two bed,Apartment,1348.25,D5
2008,"Raheny, Dublin 5",Two bed,Apartment,1335.0,D5
2008,Dublin 6,Two bed,Apartment,1378.35,D6
2008,"Harolds Cross, Dublin 6",Two bed,Apartment,1227.58,D6
2008,"Milltown, Dublin 6",Two bed,Apartment,1547.6,D6
2008,"Ranelagh, Dublin 6",Two bed,Apartment,1307.66,D6
2008,"Rathgar, Dublin 6",Two bed,Apartment,1218.32,D6
2008,"Rathmines, Dublin 6",Two bed,Apartment,1333.86,D6
2008,"Terenure, Dublin 6",Two bed,Apartment,1348.93,D6
2008,Dublin 6W,Two bed,Apartment,1382.24,D6W
2008,"Terenure, Dublin 6W",Two bed,Apartment,1407.09,D6W
2008,Dublin 7,Two bed,Apartment,1262.33,D7
2008,"Navan Road, Dublin 7",Two bed,Apartment,1197.4,D7
2008,"Phibsboro, Dublin 7",Two bed,Apartment,1237.48,D7
2008,"Smithfield, Dublin 7",Two bed,Apartment,1416.68,D7
2008,Dublin 8,Two bed,Apartment,1245.36,D8
2008,"Christchurch, Dublin 8",Two bed,Apartment,1371.12,D8
2008,"Cork Street, Dublin 8",Two bed,Apartment,1356.22,D8
2008,"Inchicore, Dublin 8",Two bed,Apartment,1198.4,D8
2008,"Islandbridge, Dublin 8",Two bed,Apartment,1303.29,D8
2008,"Kilmainham , Dublin 8",Two bed,Apartment,1228.38,D8
2008,"Rialto, Dublin 8",Two bed,Apartment,1337.12,D8
2008,"South Circular Road, Dublin 8",Two bed,Apartment,875.63,D8
2008,Dublin 9,Two bed,Apartment,1210.35,D9
2008,"Ballymun, Dublin 9",Two bed,Apartment,1088.57,D9
2008,"Beaumont, Dublin 9",Two bed,Apartment,1201.25,D9
2008,"Drumcondra, Dublin 9",Two bed,Apartment,1294.97,D9
2008,"Glasnevin, Dublin 9",Two bed,Apartment,1187.99,D9
2008,"Santry, Dublin 9",Two bed,Apartment,1190.67,D9
2008,"Whitehall, Dublin 9",Two bed,Apartment,1394.09,D9
2008,Dublin 10,Two bed,Apartment,1146.56,D10
2008,Dublin 11,Two bed,Apartment,1146.46,D11
2008,"Ballymun, Dublin 11",Two bed,Apartment,1075.33,D11
2008,"Finglas, Dublin 11",Two bed,Apartment,1168.27,D11
2008,"Glasnevin, Dublin 11",Two bed,Apartment,1180.81,D11
2008,"Meakstown, Dublin 11",Two bed,Apartment,1155.86,D11
2008,"St Margarets Road, Dublin 11",Two bed,Apartment,1155.49,D11
2008,Dublin 12,Two bed,Apartment,1226.47,D12
2008,"Drimnagh, Dublin 12",Two bed,Apartment,1300.55,D12
2008,"Kimmage, Dublin 12",Two bed,Apartment,1169.19,D12
2008,Dublin 13,Two bed,Apartment,1271.86,D13
2008,"Baldoyle, Dublin 13",Two bed,Apartment,1263.48,D13
2008,"Clongriffin, Dublin 13",Two bed,Apartment,1218.88,D13
2008,"Donaghmede, Dublin 13",Two bed,Apartment,1191.28,D13
2008,"Sutton, Dublin 13",Two bed,Apartment,1500.97,D13
2008,Dublin 14,Two bed,Apartment,1420.63,D14
2008,"Clonskeagh, Dublin 14",Two bed,Apartment,1439.54,D14
2008,"Dundrum, Dublin 14",Two bed,Apartment,1466.83,D14
2008,"Goatstown, Dublin 14",Two bed,Apartment,1505.0,D14
2008,"Rathfarnham, Dublin 14",Two bed,Apartment,1323.61,D14
2008,Dublin 15,Two bed,Apartment,1200.82,D15
2008,"Ashtown, Dublin 15",Two bed,Apartment,1246.68,D15
2008,"Blanchardstown, Dublin 15",Two bed,Apartment,1153.56,D15
2008,"Carpenterstown, Dublin 15",Two bed,Apartment,1152.09,D15
2008,"Castleknock, Dublin 15",Two bed,Apartment,1309.72,D15
2008,"Clonee, Dublin 15",Two bed,Apartment,1101.19,D15
2008,"Clonsilla, Dublin 15",Two bed,Apartment,1107.65,D15
2008,"Ongar, Dublin 15",Two bed,Apartment,1126.39,D15
2008,"Porterstown, Dublin 15",Two bed,Apartment,1154.02,D15
2008,"Royal Canal Park, Dublin 15",Two bed,Apartment,1251.55,D15
2008,Dublin 16,Two bed,Apartment,1373.87,D16
2008,"Ballinteer, Dublin 16",Two bed,Apartment,1371.79,D16
2008,"Dundrum, Dublin 16",Two bed,Apartment,1477.68,D16
2008,"Rathfarnham, Dublin 16",Two bed,Apartment,1313.13,D16
2008,Dublin 17,Two bed,Apartment,1199.53,D17
2008,"Malahide Road, Dublin 17",Two bed,Apartment,1264.19,D17
2008,Dublin 18,Two bed,Apartment,1403.01,D18
2008,"Cabinteely, Dublin 18",Two bed,Apartment,1307.13,D18
2008,"Carrickmines, Dublin 18",Two bed,Apartment,1383.48,D18
2008,"Sandyford, Dublin 18",Two bed,Apartment,1434.55,D18
2008,"Stepaside, Dublin 18",Two bed,Apartment,1309.49,D18
2008,Dublin 20,Two bed,Apartment,1177.58,D20
2008,"Chapelizod, Dublin 20",Two bed,Apartment,1185.85,D20
2008,Dublin 24,Two bed,Apartment,1164.23,D24
2008,"Ballycullen, Dublin 24",Two bed,Apartment,1193.13,D24
2008,"Citywest, Dublin 24",Two bed,Apartment,1151.89,D24
2008,"Tallaght, Dublin 24",Two bed,Apartment,1150.62,D24
2008,"Malahide, Dublin",Two bed,Other flats,1582.26,D17
2008,Dublin 1,Two bed,Other flats,1064.77,D1
2008,Dublin 2,Two bed,Other flats,1103.13,D2
2008,Dublin 3,Two bed,Other flats,1004.47,D3
2008,"Drumcondra, Dublin 3",Two bed,Other flats,904.74,D3
2008,Dublin 4,Two bed,Other flats,1177.71,D4
2008,Dublin 6,Two bed,Other flats,1026.22,D6
2008,"Ranelagh, Dublin 6",Two bed,Other flats,995.61,D6
2008,"Rathgar, Dublin 6",Two bed,Other flats,1069.72,D6
2008,"Rathmines, Dublin 6",Two bed,Other flats,1040.56,D6
2008,Dublin 7,Two bed,Other flats,929.65,D7
2008,Dublin 8,Two bed,Other flats,1003.54,D8
2008,Dublin 9,Two bed,Other flats,879.58,D9
2008,"Drumcondra, Dublin 9",Two bed,Other flats,906.29,D9
2008,Dublin 4,Three bed,Detached house,2329.09,D4
2008,Dublin 15,Three bed,Detached house,1245.0,D15
2008,Dublin 24,Three bed,Detached house,1194.55,D24
2008,"Balbriggan, Dublin",Three bed,Semi detached house,1148.0,D1
2008,"Blackrock, Dublin",Three bed,Semi detached house,1685.53,D18
2008,"Dun Laoghaire, Dublin",Three bed,Semi detached house,1552.14,D18
2008,"Kinsealy, Dublin",Three bed,Semi detached house,1268.0,D17
