Year,Location,Bedrooms,Property_type,Rent
2008,Dublin,All bedrooms,All property types,1271.29
2008,"Balbriggan, Dublin",All bedrooms,All property types,1033.33
2008,"Blackrock, Dublin",All bedrooms,All property types,1587.1
2008,"Booterstown, Dublin",All bedrooms,All property types,1656.82
2008,"Dalkey, Dublin",All bedrooms,All property types,1655.47
2008,"Donabate, Dublin",All bedrooms,All property types,1146.57
2008,"Dun Laoghaire, Dublin",All bedrooms,All property types,1317.62
2008,"Glenageary, Dublin",All bedrooms,All property types,1711.18
2008,"Howth, Dublin",All bedrooms,All property types,1554.78
2008,"Killiney, Dublin",All bedrooms,All property types,1709.93
2008,"Kinsealy, Dublin",All bedrooms,All property types,1215.97
2008,"Lucan, Dublin",All bedrooms,All property types,1222.91
2008,"Lusk, Dublin",All bedrooms,All property types,1153.0
2008,"Malahide, Dublin",All bedrooms,All property types,1549.75
2008,"Monkstown, Dublin",All bedrooms,All property types,1307.37
2008,"Mount Merrion, Dublin",All bedrooms,All property types,1812.87
2008,"Portmarnock, Dublin",All bedrooms,All property types,1335.71
2008,"Rathcoole, Dublin",All bedrooms,All property types,1075.32
2008,"Rush, Dublin",All bedrooms,All property types,1075.08
2008,"Saggart, Dublin",All bedrooms,All property types,1290.94
2008,"Sandycove, Dublin",All bedrooms,All property types,1574.68
2008,"Shankill, Dublin",All bedrooms,All property types,1382.3
2008,"Skerries, Dublin",All bedrooms,All property types,1106.63
2008,"Stillorgan, Dublin",All bedrooms,All property types,1569.16
2008,"Swords, Dublin",All bedrooms,All property types,1199.34
2008,Dublin 1,All bedrooms,All property types,1188.25
2008,"I.F.S.C., Dublin 1",All bedrooms,All property types,1432.67
2008,"Parnell Street, Dublin 1",All bedrooms,All property types,1350.73
2008,"Spencer Dock, Dublin 1",All bedrooms,All property types,1577.19
2008,"Summerhill, Dublin 1",All bedrooms,All property types,1152.31
2008,Dublin 2,All bedrooms,All property types,1411.67
2008,"Aungier Street, Dublin 2",All bedrooms,All property types,1167.63
2008,"Charlemont Street, Dublin 2",All bedrooms,All property types,1506.83
2008,"Grand Canal Dock, Dublin 2",All bedrooms,All property types,1730.83
2008,"Hanover Quay, Dublin 2",All bedrooms,All property types,1900.14
2008,"Lower Mount Street, Dublin 2",All bedrooms,All property types,1250.05
2008,"Pearse Street, Dublin 2",All bedrooms,All property types,1326.09
2008,"Tara Street, Dublin 2",All bedrooms,All property types,1282.37
2008,"Temple Bar, Dublin 2",All bedrooms,All property types,1433.04
2008,"Townsend Street, Dublin 2",All bedrooms,All property types,1380.49
2008,Dublin 3,All bedrooms,All property types,1223.11
2008,"Clonliffe, Dublin 3",All bedrooms,All property types,1090.18
2008,"Clontarf, Dublin 3",All bedrooms,All property types,1296.43
2008,"Drumcondra, Dublin 3",All bedrooms,All property types,1180.75
2008,"East Wall, Dublin 3",All bedrooms,All property types,1248.92
2008,"Fairview, Dublin 3",All bedrooms,All property types,1027.2
2008,"Marino, Dublin 3",All bedrooms,All property types,1402.29
2008,"North Strand, Dublin 3",All bedrooms,All property types,1205.83
2008,Dublin 4,All bedrooms,All property types,1560.94
2008,"Ballsbridge, Dublin 4",All bedrooms,All property types,1663.48
2008,"Donnybrook, Dublin 4",All bedrooms,All property types,1596.87
2008,"Irishtown, Dublin 4",All bedrooms,All property types,1448.67
